,cell_id,drug_id,num_points
688,MCF7,BRD-K87737963,29
689,PC3,BRD-K68065987,19
690,HELA,BRD-K57169635,18
691,MCF7,BRD-K49807096,21
692,A375,BRD-K59317601,18
693,A549,BRD-K79131256,21
694,A549,BRD-K77987382,21
695,THP1,BRD-K70511574,18
696,A549,BRD-K77625799,26
697,A549,BRD-K13154216,21
698,MCF10A,BRD-K05804044,25
699,HEK293,BRD-K02123250,18
700,A549,BRD-K35189033,21
701,THP1,BRD-K05804044,29
702,MINO,BRD-K61567297,19
703,THP1,BRD-A30655177,19
704,MCF7,BRD-K07691486,38
705,THP1,BRD-A28746609,30
706,HA1E,BRD-K07691486,19
707,MCF7,BRD-A11990600,21
708,A549,BRD-K53414658,26
709,MDAMB231,BRD-K13662825,18
710,MCF10A,BRD-K54256913,20
711,THP1,BRD-K49328571,35
712,A375,BRD-K78431006,21
713,HUVEC.A,BRD-K77908580,18
714,TMD8,BRD-K92428153,19
715,THP1,BRD-K98039984,19
716,TMD8,BRD-A50998626,19
717,MCF7,BRD-K16730910,20
718,HT29,BRD-A22032524,16
719,YAPC,BRD-K16730910,18
720,THP1,BRD-K61567297,24
721,THP1,BRD-K08109215,24
722,TMD8,BRD-K19295594,19
723,THP1,BRD-K70301465,36
724,A549,BRD-K77908580,27
725,PC3,BRD-K74065929,21
726,TMD8,BRD-K81418486,31
727,BJAB,BRD-K94199083,19
728,BJAB,BRD-A79768653,31
729,MCF10A,BRD-K59317601,18
730,THP1,BRD-K74514084,29
731,JURKAT,BRD-K07572174,19
732,HELA,BRD-K40738845,18
733,HEK293,BRD-K57169635,18
734,PC3,BRD-K62200014,16
735,MINO,BRD-A61304759,19
736,A375,BRD-K53665955,18
737,MINO,BRD-A79768653,25
738,A375,BRD-K07691486,21
739,PC3,BRD-K53665955,18
740,THP1,BRD-K70401845,30
741,A375,BRD-K33379087,18
742,A549,BRD-K33226500,21
743,MCF7,BRD-K65781196,21
744,MCF7,BRD-K07857022,20
745,MCF7,BRD-K04887706,39
746,MCF7,BRD-K17743125,26
747,A549,BRD-K27182532,21
748,A549,BRD-K44844162,21
749,A549,BRD-K71035033,26
750,A549,BRD-A48237631,21
751,MCF7,BRD-K05804044,41
752,MCF7,BRD-K71035033,29
753,PC3,BRD-K47503321,19
754,BJAB,BRD-K11357827,19
755,BJAB,BRD-K44844162,19
756,TMD8,BRD-K71035033,19
757,TMD8,BRD-K81528515,19
758,THP1,BRD-K99964838,24
759,PC3,BRD-K32821942,16
760,A549,BRD-K17075857,21
761,A549,BRD-K78431006,28
762,SKBR3,BRD-K03063480,20
763,SKBR3,BRD-K99749624,20
764,SKBR3,BRD-K49865102,20
765,HS578T,BRD-K78431006,20
766,HS578T,BRD-K41895714,20
767,A549,BRD-K17705806,21
768,A549,BRD-K63828191,26
769,MCF7,BRD-K92428232,34
770,A549,BRD-K15567136,21
771,A549,BRD-K50168500,26
772,A549,BRD-K51544265,35
773,A549,BRD-K76205745,23
774,MCF7,BRD-K94534639,21
775,MCF7,BRD-K31447894,21
776,A549,BRD-K43966364,21
777,MCF7,BRD-K70301876,21
778,MCF7,BRD-A22032524,21
779,MCF7,BRD-A92537424,21
780,HA1E,BRD-K76908866,19
781,A549,BRD-K05104363,26
782,MCF7,BRD-A73741725,21
783,THP1,BRD-K48443249,19
784,THP1,BRD-K60866521,34
785,BJAB,BRD-K30577245,19
786,BJAB,BRD-K81418486,31
787,BJAB,BRD-A77216878,19
788,TMD8,BRD-K98795921,19
789,BJAB,BRD-K87782578,25
790,THP1,BRD-K92723993,30
791,THP1,BRD-K71223042,19
792,BJAB,BRD-A50998626,19
793,MINO,BRD-K36280065,19
794,MINO,BRD-K48443249,19
795,SKBR3,BRD-K95435023,20
796,MDAMB231,BRD-A58280226,25
797,A549,BRD-K17743125,26
798,MCF7,BRD-K25630527,21
799,A549,BRD-K56957086,21
800,MCF7,BRD-K79254416,26
801,A549,BRD-K59875992,21
802,MCF7,BRD-K84163249,21
803,A549,BRD-A08545410,21
804,A549,BRD-K99023089,21
805,MCF7,BRD-K44844162,21
