,model,source drug,source cell,target drug,target cell,Spearman correlation
3715,cvae,BRD-K07881437,MCF7,BRD-K35189033,MCF7,0.8643570605602278
3716,cvae,BRD-K73237276,MCF7,BRD-K73237276,MCF7,0.906336627715408
3717,cvae,BRD-A47829399,MCF7,BRD-K73237276,MCF7,0.9063701798271966
3718,cvae,BRD-K73237276,MCF7,BRD-K73237276,MCF7,0.9062660278120518
3719,cvae,BRD-K99749624,HA1E,BRD-K99749624,A549,0.8392909712062526
3720,cvae,BRD-K44844162,A549,BRD-K99749624,A549,0.8392376059663211
3721,cvae,BRD-K99749624,A549,BRD-K99749624,A549,0.839185497888292
3722,cvae,BRD-K25630527,HELA,BRD-K25630527,A549,0.8931842191365584
3723,cvae,BRD-K74065929,A549,BRD-K25630527,A549,0.893236641505063
3724,cvae,BRD-K25630527,A549,BRD-K25630527,A549,0.8930838514353028
3725,cvae,BRD-A78195072,A549,BRD-A78195072,MCF7,0.8690124208814618
3726,cvae,BRD-K37890730,MCF7,BRD-A78195072,MCF7,0.8689392360992964
3727,cvae,BRD-K79254416,HA1E,BRD-K79254416,HA1E,0.8428667052593992
3728,cvae,BRD-K36452089,HA1E,BRD-K79254416,HA1E,0.8427636757102384
3729,cvae,BRD-K79254416,HA1E,BRD-K79254416,HA1E,0.8428893021031826
3730,cvae,BRD-K17894950,A549,BRD-K17894950,A549,0.8494826544657993
3731,cvae,BRD-K87782578,A549,BRD-K17894950,A549,0.8493850961365498
3732,cvae,BRD-K17894950,A549,BRD-K17894950,A549,0.8493584840715889
3733,cvae,BRD-K32821942,A375,BRD-K32821942,MCF7,0.8869323080981324
3734,cvae,BRD-K51544265,MCF7,BRD-K32821942,MCF7,0.8869495106911005
3735,cvae,BRD-K32821942,MCF7,BRD-K32821942,MCF7,0.8870508212637829
3736,cvae,BRD-K04833372,MCF10A,BRD-K04833372,SKBR3,0.7931563364401033
3737,cvae,BRD-K93788137,SKBR3,BRD-K04833372,SKBR3,0.7932065138766398
3738,cvae,BRD-K04833372,SKBR3,BRD-K04833372,SKBR3,0.7932916801814245
3739,cvae,BRD-K79090631,MCF10A,BRD-K79090631,HS578T,0.7723643987168765
